age,race,gender,total_patients,readmitted_30days,avg_time_in_hospital,avg_medications,readmission_rate_pct
[0-10),AfricanAmerican,Female,8,0,2.625,5.625,0.0
[0-10),AfricanAmerican,Male,8,0,3.0,7.125,0.0
[0-10),Asian,Female,1,0,4.0,9.0,0.0
[0-10),Asian,Male,1,0,1.0,7.0,0.0
[0-10),Caucasian,Female,71,1,2.6619718309859155,7.028169014084507,1.4
[0-10),Caucasian,Male,65,2,2.3384615384615386,5.230769230769231,3.1
[0-10),Hispanic,Female,2,0,2.5,4.0,0.0
[0-10),Other,Male,4,0,3.0,6.5,0.0
[10-20),AfricanAmerican,Female,130,7,3.0307692307692307,7.838461538461538,5.4
[10-20),AfricanAmerican,Male,79,6,3.2151898734177213,7.329113924050633,7.6
[10-20),Asian,Female,2,0,2.0,5.0,0.0
[10-20),Caucasian,Female,249,16,3.0602409638554215,8.542168674698795,6.4
[10-20),Caucasian,Male,189,10,3.6031746031746033,8.671957671957673,5.3
[10-20),Hispanic,Female,14,0,2.2142857142857144,7.571428571428571,0.0
[10-20),Hispanic,Male,9,0,3.5555555555555554,11.0,0.0
[10-20),Other,Female,4,1,2.25,8.0,25.0
[10-20),Other,Male,6,0,3.5,6.5,0.0
[20-30),AfricanAmerican,Female,376,47,3.824468085106383,12.167553191489361,12.5
[20-30),AfricanAmerican,Male,164,21,4.262195121951219,12.298780487804878,12.8
[20-30),Asian,Female,5,0,2.4,9.8,0.0
[20-30),Asian,Male,1,0,5.0,13.0,0.0
[20-30),Caucasian,Female,643,125,3.418351477449456,12.7900466562986,19.4
[20-30),Caucasian,Male,332,37,3.2650602409638556,10.328313253012048,11.1
[20-30),Hispanic,Female,41,1,3.682926829268293,12.073170731707316,2.4
[20-30),Hispanic,Male,22,0,3.1363636363636362,10.090909090909092,0.0
[20-30),Other,Female,12,1,2.6666666666666665,10.416666666666666,8.3
[20-30),Other,Male,15,0,4.066666666666666,12.4,0.0
[30-40),AfricanAmerican,Female,750,82,4.050666666666666,14.670666666666667,10.9
[30-40),AfricanAmerican,Male,473,60,3.718816067653277,13.031712473572938,12.7
[30-40),Asian,Female,11,0,3.0,9.090909090909092,0.0
[30-40),Asian,Male,4,0,4.25,14.75,0.0
[30-40),Caucasian,Female,1211,145,3.6655656482246077,14.62840627580512,12.0
[30-40),Caucasian,Male,992,112,3.868951612903226,14.074596774193548,11.3
[30-40),Hispanic,Female,96,5,3.4583333333333335,13.479166666666666,5.2
[30-40),Hispanic,Male,78,7,4.1923076923076925,12.448717948717949,9.0
[30-40),Other,Female,51,8,3.215686274509804,11.588235294117647,15.7
[30-40),Other,Male,33,3,3.6363636363636362,13.030303030303031,9.1
[40-50),AfricanAmerican,Female,1547,183,4.41305753070459,16.005817711700065,11.8
[40-50),AfricanAmerican,Male,1240,150,4.267741935483871,14.34032258064516,12.1
[40-50),Asian,Female,24,3,2.625,13.083333333333334,12.5
[40-50),Asian,Male,28,0,3.4642857142857144,10.714285714285714,0.0
[40-50),Caucasian,Female,2927,305,3.936795353604373,16.03518961393919,10.4
[40-50),Caucasian,Male,3204,315,3.9176029962546814,15.225967540574283,9.8
[40-50),Hispanic,Female,154,13,4.142857142857143,15.305194805194805,8.4
[40-50),Hispanic,Male,183,28,3.6885245901639343,12.96174863387978,15.3
[40-50),Other,Female,66,4,3.878787878787879,14.909090909090908,6.1
[40-50),Other,Male,92,8,4.054347826086956,14.33695652173913,8.7
[50-60),AfricanAmerican,Female,2457,230,4.358974358974359,16.502645502645503,9.4
[50-60),AfricanAmerican,Male,1768,183,4.152149321266968,15.528280542986426,10.4
[50-60),Asian,Female,45,2,4.222222222222222,13.177777777777777,4.4
[50-60),Asian,Male,78,7,3.8846153846153846,14.23076923076923,9.0
[50-60),Caucasian,Female,5559,585,4.134196797985249,17.295916531750315,10.5
[50-60),Caucasian,Male,6276,587,4.051625239005737,16.623326959847038,9.4
[50-60),Hispanic,Female,218,13,3.7752293577981653,13.389908256880734,6.0
[50-60),Hispanic,Male,185,15,4.010810810810811,13.897297297297298,8.1
[50-60),Other,Female,132,8,3.6515151515151514,14.545454545454545,6.1
[50-60),Other,Male,177,16,4.2824858757062145,15.790960451977401,9.0
[60-70),AfricanAmerican,Female,2429,267,4.664059283655825,16.607245780156443,11.0
[60-70),AfricanAmerican,Male,1803,218,4.625623960066556,15.953965612867442,12.1
[60-70),Asian,Female,78,4,3.641025641025641,13.012820512820513,5.1
[60-70),Asian,Male,82,13,4.365853658536586,14.75609756097561,15.9
[60-70),Caucasian,Female,7893,863,4.438996579247434,17.83441023691879,10.9
[60-70),Caucasian,Male,8800,1002,4.228295454545455,17.205568181818183,11.4
[60-70),Hispanic,Female,253,34,4.134387351778656,14.596837944664031,13.4
[60-70),Hispanic,Male,236,22,4.13135593220339,14.415254237288135,9.3
[60-70),Other,Female,190,25,4.489473684210527,15.957894736842105,13.2
[60-70),Other,Male,224,21,4.616071428571429,16.102678571428573,9.4
[70-80),AfricanAmerican,Female,2450,301,4.770204081632653,15.555918367346939,12.3
[70-80),AfricanAmerican,Male,1366,153,4.9077598828696924,15.390922401171304,11.2
[70-80),Asian,Female,87,10,4.2298850574712645,14.045977011494253,11.5
[70-80),Asian,Male,93,17,4.172043010752688,12.96774193548387,18.3
[70-80),Caucasian,Female,10754,1255,4.686163288078855,16.861911846754698,11.7
[70-80),Caucasian,Male,10007,1200,4.432996902168482,16.3746377535725,12.0
[70-80),Hispanic,Female,216,23,4.2407407407407405,14.925925925925926,10.6
[70-80),Hispanic,Male,170,24,4.311764705882353,15.029411764705882,14.1
[70-80),Other,Female,172,20,4.9186046511627906,15.953488372093023,11.6
[70-80),Other,Male,153,15,4.2026143790849675,15.96078431372549,9.8
[70-80),Other,Unknown/Invalid,1,0,1.0,22.0,0.0
[80-90),AfricanAmerican,Female,1307,152,4.9801071155317524,14.872991583779648,11.6
[80-90),AfricanAmerican,Male,510,60,5.041176470588235,14.047058823529412,11.8
[80-90),Asian,Female,60,5,4.216666666666667,13.25,8.3
[80-90),Asian,Male,30,4,4.3,11.966666666666667,13.3
[80-90),Caucasian,Female,8729,1077,4.8669950738916254,15.623782792988887,12.3
[80-90),Caucasian,Male,5873,692,4.670355865826664,15.163459901242977,11.8
[80-90),Hispanic,Female,85,10,5.105882352941176,14.741176470588234,11.8
[80-90),Hispanic,Male,56,13,4.125,14.142857142857142,23.2
[80-90),Other,Female,103,10,4.504854368932039,15.077669902912621,9.7
[80-90),Other,Male,47,5,4.446808510638298,14.72340425531915,10.6
[90-100),AfricanAmerican,Female,274,31,4.7700729927007295,12.85036496350365,11.3
[90-100),AfricanAmerican,Male,71,4,4.957746478873239,12.253521126760564,5.6
[90-100),Asian,Female,5,0,5.8,18.0,0.0
[90-100),Asian,Male,6,0,3.8333333333333335,9.833333333333334,0.0
[90-100),Caucasian,Female,1653,188,4.751966122202057,14.11070780399274,11.4
[90-100),Caucasian,Male,672,75,4.688988095238095,13.494047619047619,11.2
[90-100),Hispanic,Female,13,1,6.615384615384615,13.461538461538462,7.7
[90-100),Hispanic,Male,6,3,4.0,12.0,50.0
[90-100),Other,Female,18,0,4.166666666666667,14.0,0.0
[90-100),Other,Male,6,0,3.8333333333333335,13.166666666666666,0.0
